Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS18_5yr_B01001001,ACS18_5yr_B01001002,ACS18_5yr_B01001003,ACS18_5yr_B01001004,ACS18_5yr_B01001005,ACS18_5yr_B01001006,ACS18_5yr_B01001007,ACS18_5yr_B01001008,ACS18_5yr_B01001009,ACS18_5yr_B01001010,ACS18_5yr_B01001011,ACS18_5yr_B01001012,ACS18_5yr_B01001013,ACS18_5yr_B01001014,ACS18_5yr_B01001015,ACS18_5yr_B01001016,ACS18_5yr_B01001017,ACS18_5yr_B01001018,ACS18_5yr_B01001019,ACS18_5yr_B01001020,ACS18_5yr_B01001021,ACS18_5yr_B01001022,ACS18_5yr_B01001023,ACS18_5yr_B01001024,ACS18_5yr_B01001025,ACS18_5yr_B01001026,ACS18_5yr_B01001027,ACS18_5yr_B01001028,ACS18_5yr_B01001029,ACS18_5yr_B01001030,ACS18_5yr_B01001031,ACS18_5yr_B01001032,ACS18_5yr_B01001033,ACS18_5yr_B01001034,ACS18_5yr_B01001035,ACS18_5yr_B01001036,ACS18_5yr_B01001037,ACS18_5yr_B01001038,ACS18_5yr_B01001039,ACS18_5yr_B01001040,ACS18_5yr_B01001041,ACS18_5yr_B01001042,ACS18_5yr_B01001043,ACS18_5yr_B01001044,ACS18_5yr_B01001045,ACS18_5yr_B01001046,ACS18_5yr_B01001047,ACS18_5yr_B01001048,ACS18_5yr_B01001049,ACS18_5yr_B01001001s,ACS18_5yr_B01001002s,ACS18_5yr_B01001003s,ACS18_5yr_B01001004s,ACS18_5yr_B01001005s,ACS18_5yr_B01001006s,ACS18_5yr_B01001007s,ACS18_5yr_B01001008s,ACS18_5yr_B01001009s,ACS18_5yr_B01001010s,ACS18_5yr_B01001011s,ACS18_5yr_B01001012s,ACS18_5yr_B01001013s,ACS18_5yr_B01001014s,ACS18_5yr_B01001015s,ACS18_5yr_B01001016s,ACS18_5yr_B01001017s,ACS18_5yr_B01001018s,ACS18_5yr_B01001019s,ACS18_5yr_B01001020s,ACS18_5yr_B01001021s,ACS18_5yr_B01001022s,ACS18_5yr_B01001023s,ACS18_5yr_B01001024s,ACS18_5yr_B01001025s,ACS18_5yr_B01001026s,ACS18_5yr_B01001027s,ACS18_5yr_B01001028s,ACS18_5yr_B01001029s,ACS18_5yr_B01001030s,ACS18_5yr_B01001031s,ACS18_5yr_B01001032s,ACS18_5yr_B01001033s,ACS18_5yr_B01001034s,ACS18_5yr_B01001035s,ACS18_5yr_B01001036s,ACS18_5yr_B01001037s,ACS18_5yr_B01001038s,ACS18_5yr_B01001039s,ACS18_5yr_B01001040s,ACS18_5yr_B01001041s,ACS18_5yr_B01001042s,ACS18_5yr_B01001043s,ACS18_5yr_B01001044s,ACS18_5yr_B01001045s,ACS18_5yr_B01001046s,ACS18_5yr_B01001047s,ACS18_5yr_B01001048s,ACS18_5yr_B01001049s
"08085","05000US08085","Montrose County","Montrose County, Colorado","co","050","00","ACSSF","0000056",,,,,"08","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41268,20374,1181,1059,1604,825,437,163,272,579,999,1178,1099,1094,1239,1294,1532,543,985,584,939,1012,841,519,396,20894,1131,1432,1059,799,488,242,162,458,938,1145,1062,1179,1189,1393,1613,770,876,642,953,1193,980,596,594,0,60.60606,2.424242,120,103.6364,24.24242,2.424242,48.48485,70.30303,58.78788,30.90909,32.72727,98.78788,104.2424,47.27273,23.63636,107.8788,67.27273,97.57576,96.36364,80.60606,89.09091,73.93939,58.78788,75.15151,60.60606,35.15152,100.6061,93.93939,21.21212,51.51515,64.84849,51.51515,66.06061,14.54545,35.75758,89.09091,89.09091,16.9697,21.81818,129.697,92.72727,98.18182,82.42424,89.69697,85.45454,78.78788,64.84849,78.78788
"08087","05000US08087","Morgan County","Morgan County, Colorado","co","050","00","ACSSF","0000057",,,,,"08","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28257,14112,1052,1121,966,648,381,158,158,618,891,1031,871,725,899,894,892,379,514,282,458,359,302,280,233,14145,1020,1041,997,574,321,102,203,542,980,867,802,794,834,903,866,380,513,291,381,533,448,472,281,0,59.39394,39.39394,90.90909,96.9697,34.54546,55.75758,41.21212,38.78788,75.75758,29.09091,33.93939,81.81818,77.57576,32.72727,16.36364,77.57576,61.81818,68.48485,53.33333,64.84849,49.69697,46.66667,47.87879,39.39394,59.39394,27.87879,100,103.6364,4.242424,13.33333,43.0303,66.06061,67.87878,35.75758,31.51515,87.87878,89.69697,29.09091,34.54546,80,51.51515,70.30303,57.57576,69.69697,61.81818,66.66666,65.45454,49.69697
"08089","05000US08089","Otero County","Otero County, Colorado","co","050","00","ACSSF","0000058",,,,,"08","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18325,8872,533,535,715,415,410,79,106,304,485,474,433,525,438,586,479,269,468,207,270,450,299,237,155,9453,562,691,505,333,283,86,100,397,410,567,685,541,441,578,623,295,358,175,370,465,468,259,261,0,40.60606,14.54545,79.39394,79.39394,13.93939,61.21212,27.87879,35.15152,59.39394,1.212121,2.424242,65.45454,63.0303,2.424242,36.36364,61.81818,48.48485,56.9697,39.39394,42.42424,38.18182,41.81818,43.0303,36.36364,40.60606,11.51515,69.69697,68.48485,9.090909,36.9697,32.12121,27.87879,60,54.54546,35.15152,114.5455,81.21212,63.0303,7.272727,56.9697,43.0303,49.09091,38.18182,53.93939,47.27273,62.42424,47.27273,54.54546
"08091","05000US08091","Ouray County","Ouray County, Colorado","co","050","00","ACSSF","0000059",,,,,"08","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4722,2312,57,79,130,57,41,30,0,76,59,117,133,189,67,198,166,105,144,133,148,192,87,34,70,2410,101,62,146,58,3,0,0,42,136,124,73,153,120,279,168,127,197,112,197,117,90,40,65,0,78.18182,23.0303,26.66667,42.42424,21.21212,19.39394,16.36364,7.272727,33.93939,35.15152,32.12121,33.93939,31.51515,19.39394,43.0303,37.57576,27.27273,32.72727,23.63636,31.51515,30.90909,26.06061,14.54545,20,78.18182,38.78788,23.0303,33.33333,20.60606,3.636364,7.272727,7.272727,19.39394,43.0303,29.09091,21.81818,32.12121,26.06061,41.21212,31.51515,27.87879,37.57576,21.81818,43.63636,22.42424,23.63636,20,20.60606
"08093","05000US08093","Park County","Park County, Colorado","co","050","00","ACSSF","0000060",,,,,"08","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17392,9172,405,392,522,294,173,62,0,211,328,447,500,573,637,866,934,571,514,391,465,512,160,88,127,8220,422,372,387,215,180,6,28,177,318,352,452,519,558,794,1144,262,455,257,310,594,243,107,68,0,74.54546,64.84849,70.30303,85.45454,42.42424,50.30303,45.45454,11.51515,55.15152,9.090909,43.0303,84.24242,60,33.93939,49.69697,100,86.06061,89.69697,61.81818,75.75758,71.51515,43.0303,46.66667,55.75758,74.54546,65.45454,64.24242,65.45454,9.090909,74.54546,7.272727,27.27273,66.06061,23.0303,18.78788,67.27273,86.66666,12.12121,43.63636,93.93939,63.63636,87.27273,58.78788,57.57576,95.15151,60,60.60606,55.15152
"08095","05000US08095","Phillips County","Phillips County, Colorado","co","050","00","ACSSF","0000061",,,,,"08","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4318,2295,95,146,189,130,107,73,11,44,209,126,128,106,110,166,120,85,61,44,85,65,130,29,36,2023,150,168,176,55,22,33,0,70,66,99,79,126,146,112,156,39,122,54,67,61,84,53,85,0,80,27.27273,36.9697,38.78788,33.93939,39.39394,27.87879,9.69697,17.57576,46.66667,30.30303,29.69697,26.66667,23.63636,36.9697,27.27273,26.66667,16.36364,17.57576,20.60606,16.9697,25.45455,8.484848,24.24242,80,35.15152,31.51515,40,16.9697,15.75758,21.21212,7.272727,27.27273,23.63636,28.48485,24.84848,27.27273,32.12121,25.45455,25.45455,13.93939,27.27273,14.54545,15.75758,15.15152,23.0303,15.75758,29.69697
"08097","05000US08097","Pitkin County","Pitkin County, Colorado","co","050","00","ACSSF","0000062",,,,,"08","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17909,9408,443,606,298,136,224,45,35,468,608,947,819,273,676,637,568,377,571,359,297,463,387,134,37,8501,380,213,478,320,61,56,69,429,738,568,549,593,562,733,755,242,349,136,319,538,159,55,199,0,141.2121,67.87878,85.45454,72.12122,54.54546,69.69697,27.87879,23.63636,131.5152,24.24242,84.24242,104.8485,102.4242,14.54545,22.42424,101.8182,75.15151,124.8485,115.1515,103.6364,109.0909,63.0303,55.75758,26.66667,141.2121,69.69697,54.54546,64.24242,53.93939,40.60606,51.51515,55.15152,84.84849,44.24242,24.84848,105.4545,109.0909,7.878788,54.54546,96.9697,56.36364,92.12122,46.66667,75.75758,81.21212,64.24242,40,88.48485
"08099","05000US08099","Prowers County","Prowers County, Colorado","co","050","00","ACSSF","0000063",,,,,"08","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12052,6035,425,397,494,274,188,135,105,238,326,348,320,340,333,332,484,203,175,157,223,186,123,106,123,6017,386,398,414,243,205,74,27,218,310,328,456,223,312,433,468,196,178,138,223,256,131,229,171,0,49.09091,1.212121,61.81818,64.24242,11.51515,29.09091,37.57576,38.78788,56.36364,10.90909,15.15152,46.66667,44.24242,37.57576,40,55.15152,52.72727,32.72727,33.93939,44.24242,35.15152,35.75758,25.45455,27.27273,49.09091,11.51515,41.81818,41.81818,11.51515,55.75758,29.69697,16.36364,48.48485,1.212121,11.51515,41.21212,41.21212,13.33333,59.39394,42.42424,36.9697,35.75758,27.27273,45.45454,44.84848,35.75758,43.63636,36.9697
"08101","05000US08101","Pueblo County","Pueblo County, Colorado","co","050","00","ACSSF","0000064",,,,,"08","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164685,80962,4861,5099,5849,3405,2336,1222,1149,3210,5302,5226,5029,4671,4756,5061,5221,2404,2954,2046,2720,3213,2416,1557,1255,83723,4776,4993,5461,3258,2105,1048,1021,2998,5298,5241,5461,4108,4887,5386,5853,2165,3637,2260,2571,3860,2741,2169,2426,0,58.18182,34.54546,200,204.2424,43.0303,38.18182,142.4242,122.4242,143.6364,63.63636,72.72727,195.7576,201.2121,37.57576,52.72727,189.0909,164.8485,175.1515,128.4848,136.9697,154.5455,125.4545,115.1515,127.8788,58.18182,34.54546,207.2727,196.9697,38.78788,58.18182,150.9091,150.9091,177.5758,34.54546,67.27273,172.7273,160,43.0303,42.42424,186.6667,165.4545,150.9091,140,152.1212,174.5455,148.4848,156.9697,214.5455
"08103","05000US08103","Rio Blanco County","Rio Blanco County, Colorado","co","050","00","ACSSF","0000065",,,,,"08","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6465,3291,175,343,205,119,136,102,29,70,201,211,188,158,197,199,285,105,96,96,78,110,111,50,27,3174,246,236,248,91,79,78,36,106,177,232,186,201,163,201,221,151,59,53,128,65,116,28,73,0,44.24242,12.72727,24.84848,47.87879,24.84848,44.24242,35.15152,16.9697,26.06061,23.0303,20.60606,29.09091,26.06061,18.78788,6.060606,40,25.45455,30.90909,30.90909,24.24242,26.66667,25.45455,26.06061,13.93939,44.24242,44.84848,31.51515,50.90909,23.63636,22.42424,26.06061,11.51515,29.69697,6.060606,23.63636,36.36364,33.93939,15.75758,10.30303,35.15152,32.12121,21.21212,22.42424,28.48485,30.30303,29.69697,14.54545,30.30303
